,Children_Poverty_Rate,E1,E2,E3,E4,E5,E6,HD1,HD2,L1,L2,O,P1,P2,P3,Q,Component 1,Component 2,Component 3,Segment K-means PCA,Segment,New Code
259,36.3,7.938793879,66.61585366,70.7,10.24408752,63.49078547,55.27638191,7.3,6.0,80.9853262,78.22925373,32.42424242,18.66666667,72.66666667,8.666666667,9.5,0.4326127379704358,0.1705893783366241,-0.003964281890114069,0,first,E05000284
260,13.6,3.113052977,71.78284182,71.4,6.405933918,66.85934489,32.03883495,5.3,3.7,84.50126806,82.69668737,10.0,20.68965517,65.0862069,13.79310345,6.4,-0.5350787298396069,-0.16136895952210312,0.15231939303315153,1,second,E05000285
261,20.6,3.505496785,71.94932782,70.6,5.383255664,66.7876588,46.37096774,8.5,5.6,84.54455714,82.6967021,11.81818182,18.70229008,62.59541985,19.08396947,5.4,-0.3949815009587112,-0.37406929243188075,0.037089264611285526,1,second,E05000286
262,22.3,5.895020188,68.5678392,70.3,8.677821522,64.17291066,49.40711462,6.5,4.5,84.67396596,81.81773948,20.1754386,20.0,67.5,12.08333333,8.1,-0.07539354746601853,-0.08593734250438419,0.16335643658867563,1,second,E05000287
263,25.4,4.121431444,71.10299812,73.4,8.013449145,67.50282718,47.94952681,6.4,4.2,81.45635916,79.03583201,18.97959184,18.14671815,71.42857143,10.42471042,9.0,-0.1014939827839194,0.18013897462497777,0.027782746680445728,1,second,E05000288
264,18.0,4.109589041,68.23231104,70.0,7.115689382,65.02829247,43.82022472,6.1,4.2,82.0108244,79.47836318,10.58823529,20.86614173,66.92913386,12.20472441,7.5,-0.2480708542920867,-0.09915636123759357,0.12013505289323194,1,second,E05000289
265,23.4,5.264423077,69.11723754,69.1,8.132956153,63.51301797,42.73504274,7.5,5.5,83.01554042,80.04938785,19.64285714,18.88412017,63.09012876,17.59656652,5.8,-0.1312217889997393,-0.3413878025194,0.024844786637988347,1,second,E05000290
266,15.7,2.905811623,73.18631179,71.2,6.006674082,66.88654354,40.10989011,7.4,4.4,83.88116483,83.09428647,12.65306122,18.34862385,61.46788991,20.18348624,4.2,-0.5329703801703555,-0.39305227312392493,0.03523848582819393,1,second,E05000291
267,10.1,2.044817927,73.78861296,71.6,5.615874204,67.55996248,36.73469388,6.3,4.1,85.5135606,84.75372249,7.826086957,17.39130435,65.2173913,17.39130435,5.6,-0.6853570645638942,-0.21783830388602382,0.1910220948119869,1,second,E05000292
268,19.7,4.373757455,71.73566879,72.7,7.578281146,67.19544684,44.48669202,5.8,4.0,84.37571172,83.69122239,13.45454545,20.43478261,66.95652174,12.60869565,7.2,-0.33292245912870017,-0.06594466844857341,0.13850504570287275,1,second,E05000293
269,19.8,5.269219695,68.47939489,69.8,8.554873892,63.78982406,39.92395437,7.5,5.3,83.1094184,80.66703006,17.25490196,17.82608696,68.69565217,13.04347826,8.4,-0.11978100937448746,-0.09820774101429479,0.13584254686858413,1,second,E05000294
270,13.7,2.647058824,71.6453358,71.5,7.023907667,66.50548414,30.14705882,6.6,4.5,83.11575217,83.37630256,11.6,16.95652174,68.26086957,15.2173913,8.2,-0.4913445062905915,-0.09462878881583005,0.17295294856626248,1,second,E05000295
271,27.7,6.313834726,68.39292077,71.7,10.39119804,64.25597195,47.80361757,6.7,4.7,83.0377296,81.56392796,22.5,21.484375,67.96875,10.546875,8.4,0.0746372812485759,-0.04318822964744987,0.08394290021216924,0,first,E05000296
