,New Code,Children in Poverty; % of children aged under 16 in poverty; 2011,Employment; Adults not in Employment - 2011 Census; % of households with no adults in employment with dependent children,Employment; Economic Activity (Percentages) - 2011 Census; Employment rate (16-64),Employment; Economic Activity (Percentages) - 2011 Census; Economically active %,Employment; Economic Activity (Percentages) - 2011 Census; Economically active: % Unemployed,Employment; Economic Activity (Percentages) - 2011 Census; Employment rate (16-74),Employment; Lone Parent Not in Employment - 2011 Census; Lone parent not in employment %,Health and Disability; General Health - 2011 Census; % People whose Day-to-day activities are limited a lot,Health and Disability; General Health - 2011 Census; % People with Bad or Very Bad Health,Life Expectancy; Life expectancy at birth (all persons); 2007-2011,Life Expectancy; Male life expectancy; 2007-2011,Out-of-Work Families; Rates children (0-18) living in Out-of-work Benefit Claimant Households; 2011,Population and Age; Age structure (percentage) - 2013; Aged 0-15,Population and Age; Age structure (percentage) - 2013; Aged 16-64,Population and Age; Age structure (percentage) - 2013; Aged 65+,Qualifications; Qualifications and Students - 2011 Census; % of 16+ who are schoolchildren and full-time students: Age 18 and over
583,E05000608,32.9,6.990330379,68.14341421,72.4,9.780918728,65.34602785,46.98544699,6.3,5.0,79.48980045,76.24662098,28.98550725,23.07692308,68.86446886,8.058608059,7.5
584,E05000609,29.0,6.655257654,66.20124113,70.5,10.76312307,62.87164612,48.45995893,6.9,5.3,79.53160857,76.74771039,26.16438356,23.8267148,66.78700361,9.386281588,6.9
585,E05000610,8.2,1.685750636,82.99229338,82.9,3.903964491,79.64217039,38.23529412,4.0,2.7,83.5865337,81.37878686,8.235294118,17.17171717,74.74747475,8.080808081,3.7
586,E05000611,18.0,3.078358209,79.97356828,81.3,5.301701908,76.98306222,49.20634921,5.0,3.7,82.56719825,80.41577013,16.53061224,15.2027027,77.02702703,7.432432432,4.5
587,E05000612,22.9,2.73419991,78.98173403,80.4,4.947378774,76.38921824,46.77419355,4.8,3.5,81.06380022,77.94736091,22.32142857,16.24203822,76.75159236,7.006369427,7.1
588,E05000613,14.7,1.925010774,81.70946184,81.1,4.048460374,77.85696731,50.52631579,4.7,3.3,83.0393936,80.14434043,14.44444444,13.63636364,75.0,11.36363636,4.2
589,E05000614,16.8,2.215283973,83.89506749,84.4,3.917050691,81.12840467,42.27941176,3.9,2.9,80.75135888,79.16664562,16.19047619,14.04682274,78.92976589,7.023411371,4.4
590,E05000615,26.7,5.543423484,70.55592386,73.6,9.38433951,66.65494196,45.28650647,6.1,4.3,81.47065459,80.52977628,24.25,21.4057508,69.00958466,9.904153355,8.0
591,E05000616,28.2,5.639344262,72.60740874,74.8,7.464535015,69.24178602,52.78884462,6.3,4.5,82.27559681,78.92650679,27.14285714,18.50649351,72.4025974,9.090909091,8.5
592,E05000617,39.6,7.830076969,70.64368435,74.4,9.386322464,67.38233561,50.24390244,6.8,5.4,78.67112344,74.93813616,38.08823529,19.23076923,72.11538462,8.974358974,6.9
593,E05000618,11.3,2.214080917,81.27636164,81.2,4.256224729,77.73650108,43.07692308,5.1,3.5,78.17857038,76.33432989,10.37037037,17.28813559,73.55932203,9.491525424,4.0
594,E05000619,5.5,1.591384022,83.90178571,84.1,3.114503817,81.48433487,39.80582524,3.2,2.4,82.92443373,81.3944198,5.161290323,20.26578073,73.089701,6.644518272,2.8
595,E05000620,35.2,5.057034221,75.37266593,78.5,7.416493678,72.63843648,51.17056856,5.0,3.9,80.20631869,76.66867033,31.66666667,14.20765027,78.1420765,7.650273224,8.0
596,E05000621,37.7,8.622431795,59.84636872,66.2,13.46747315,57.26656319,53.43007916,7.9,5.6,79.07686023,77.10796246,31.62162162,17.64705882,72.05882353,10.0,22.3
597,E05000622,25.6,3.899289864,77.41317365,78.4,5.867322797,73.82913976,46.2745098,5.6,3.6,77.4683509,75.63013816,22.0754717,14.49704142,74.85207101,10.35502959,7.1
598,E05000623,16.2,2.664381427,82.99174874,83.5,4.443772672,79.81651376,47.23247232,4.8,3.5,80.05614047,77.31820179,16.58536585,13.93728223,77.70034843,8.013937282,4.1
599,E05000624,15.3,3.27821711,80.93968677,81.2,4.325108853,77.71751945,43.78378378,4.1,2.8,82.43674609,79.38686588,14.41176471,19.51219512,71.95121951,8.231707317,4.4
600,E05000625,7.2,1.292186075,83.40572644,82.7,3.227423073,79.99834286,39.45578231,3.1,2.3,84.58356164,81.54557757,6.274509804,16.27906977,74.08637874,9.634551495,3.2
601,E05000626,33.1,5.903814262,67.74546987,70.6,8.688854143,64.428684,56.45514223,5.7,4.6,80.17960892,78.80869763,27.97101449,17.75147929,72.78106509,9.171597633,14.3
602,E05000627,7.1,2.218246869,70.95532277,71.9,5.160684964,68.17300396,37.74509804,5.0,3.5,79.982869,78.86017499,7.65625,19.42675159,72.61146497,8.280254777,4.1
603,E05000628,28.0,5.419528217,73.1178222,74.5,6.480888319,69.66515549,46.92028986,6.3,4.2,78.91508817,77.21805667,22.91666667,18.6746988,71.98795181,9.337349398,6.0
604,E05000629,22.3,4.420951466,72.56985439,72.7,5.955489245,68.40915257,50.23584906,7.1,4.9,80.82078991,78.60277612,20.16393443,17.54966887,69.20529801,13.24503311,7.6
605,E05000630,19.0,3.533026114,67.90812354,68.3,4.917463076,64.90333294,58.28877005,5.6,4.5,86.81556805,84.25254003,12.0,17.62114537,68.28193833,14.0969163,6.7
606,E05000631,20.9,2.436806692,73.89960435,75.1,5.928308824,70.60243734,55.68862275,5.9,4.8,84.22330001,85.22064956,18.88888889,13.04347826,76.8115942,10.14492754,7.7
607,E05000632,26.7,2.601809955,66.64196485,68.4,5.876407739,64.3343531,56.4516129,5.0,4.1,86.29172684,85.42885069,20.33333333,10.93117409,78.54251012,10.52631579,15.0
608,E05000633,46.6,8.616531462,63.35297767,66.8,9.577404969,60.41430193,62.91079812,8.9,7.5,83.91040552,80.52474629,41.13636364,19.40298507,68.15920398,12.43781095,7.7
609,E05000634,52.7,12.60860352,48.68660598,54.8,16.86486486,45.51911921,67.52136752,12.3,10.9,79.68553386,78.2204643,48.73015873,23.1092437,63.86554622,12.60504202,10.0
610,E05000635,45.6,8.72125115,63.36463582,68.8,11.7508997,60.73005276,57.11835334,9.2,7.6,79.81054836,74.72338764,40.76923077,18.93004115,72.83950617,8.641975309,7.2
611,E05000636,33.1,4.368546465,62.37942122,65.7,7.642658061,60.7018897,64.41947566,5.6,5.2,84.00095105,82.86152719,26.75675676,12.69230769,77.30769231,10.0,14.1
612,E05000637,2.7,2.730551262,56.49871171,57.5,3.82959438,55.26761297,50.90909091,2.4,1.8,92.4978639,92.24078299,0.666666667,11.16751269,75.63451777,13.19796954,21.5
613,E05000638,25.2,2.990131094,71.22029726,74.0,6.822044185,68.9295977,54.25101215,4.9,4.0,84.23907248,82.49922513,20.58823529,11.52416357,79.92565056,8.550185874,11.7
614,E05000639,30.1,4.491199676,69.3814433,70.9,6.212967665,66.45873321,57.31707317,6.5,5.8,81.69594889,78.44133096,23.57142857,18.05555556,71.2962963,10.64814815,6.3
615,E05000640,38.6,7.053571429,70.42310275,72.9,6.846473029,67.92738275,56.91906005,7.5,5.9,83.46327172,81.65033633,36.19047619,17.96116505,72.81553398,9.223300971,6.1
616,E05000641,15.4,1.4803849,71.41819942,72.4,4.685325499,69.04895262,45.45454545,3.8,2.9,84.9246338,85.55036314,11.36363636,8.837209302,79.53488372,11.62790698,14.6
617,E05000642,46.8,10.78240561,58.95029545,64.3,13.31114809,55.74577359,56.81470138,10.4,9.0,78.50564658,74.89801923,43.90625,21.17647059,69.41176471,9.803921569,7.4
618,E05000643,30.8,4.07232173,62.43790137,62.9,6.582584658,58.72067767,55.01858736,7.7,6.0,84.69664134,83.8200437,20.46511628,15.91836735,68.16326531,15.91836735,10.8
619,E05000644,18.3,2.133632791,67.69142199,70.3,6.997261941,65.3484395,44.44444444,6.1,4.9,82.9675798,80.37063173,24.61538462,9.6069869,79.47598253,11.35371179,12.0
620,E05000645,24.5,2.430555556,75.19083969,75.5,5.792197452,71.13014728,48.21428571,7.1,5.7,83.59113584,82.86966568,24.0,10.84337349,74.09638554,15.06024096,6.4
621,E05000646,32.3,4.310175162,69.01621325,71.6,7.682862656,66.10148204,54.42176871,7.0,5.6,82.55770031,80.22081662,28.78787879,14.0776699,72.81553398,12.62135922,7.7
622,E05000647,27.7,2.447761194,73.76779847,75.2,6.15255658,70.55709604,50.0,6.0,5.2,84.39158059,81.99085657,24.34782609,10.9947644,76.96335079,12.04188482,7.7
623,E05000648,50.2,11.68782674,58.99863139,64.0,11.93333333,56.40478224,60.93023256,10.7,8.7,77.96887689,74.65631,47.69230769,21.23552124,69.88416988,9.266409266,7.4
624,E05000649,17.9,2.016949153,71.34203169,73.5,6.018246027,69.04118474,53.19148936,5.3,4.5,84.39092072,83.06377158,14.0,8.675799087,80.3652968,10.95890411,10.1
625,E12000007,26.5,5.670489591,69.18697107,71.7,8.788798547,65.36834927,47.82394115,6.7,4.9,81.13407673,78.89286433,22.90976155,19.82387476,68.81515745,11.36037479,8.1
626,E92000001,20.6,4.2,71.1,69.91299742,7.3,64.6,40.52065565,8.3,5.5,80.59333194,78.54588216,19.27843108,18.95309227,63.77216928,17.27473845,5.462241816
627,K04000001,20.7,4.204665539,70.98169206,69.7,7.444322233,64.49931358,40.57911028,8.5,5.6,80.54147512,78.48785935,18.47746243,18.89198229,64.06230146,17.04571626,5.5
